url,finalUrl,status,title,h1,h2,h3,h4,h5,h6,lang,flags,redirect,renderedMs
"http://localhost:3001/","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Connectez-vous - pass Culture Pro","Connectez-vous","","","","","","fr","REDIRECT | TITLE_DUPLICATE",1,2352
"http://localhost:3001/connexion","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Connectez-vous - pass Culture Pro","Connectez-vous","","","","","","fr","REDIRECT | TITLE_DUPLICATE",1,2241
"http://localhost:3001/inscription","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Créer un compte - pass Culture Pro","Créez votre compte","","","","","","fr","REDIRECT | TITLE_DUPLICATE",1,2424
"http://localhost:3001/inscription/compte/creation","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Créer un compte - pass Culture Pro","Créez votre compte","","","","","","fr","REDIRECT | TITLE_DUPLICATE",1,2351
"http://localhost:3001/inscription/compte/confirmation","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Validez votre adresse email - pass Culture Pro","Validez votre adresse email","","","","","","fr","REDIRECT | TITLE_DUPLICATE",1,2603
"http://localhost:3001/inscription/confirmation","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Validez votre adresse email - pass Culture Pro","Validez votre adresse email","","","","","","fr","REDIRECT | TITLE_DUPLICATE",1,2258
"http://localhost:3001/email_validation","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Valider l’adresse email - pass Culture Pro","Votre lien a expiré !","","","","","","fr","REDIRECT",1,2314
"http://localhost:3001/demande-mot-de-passe","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Réinitialisez votre mot de passe - pass Culture Pro","Réinitialisez votre mot de passe","","","","","","fr","REDIRECT | TITLE_DUPLICATE",1,2467
"http://localhost:3001/demande-mot-de-passe/EXEMPLE_TOKEN","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Réinitialisez votre mot de passe - pass Culture Pro","Réinitialisez votre mot de passe","","","","","","fr","REDIRECT | TITLE_DUPLICATE",1,2291
"http://localhost:3001/accessibilite","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Informations d’accessibilité - pass Culture Pro","Informations d’accessibilité","","","","","","fr","REDIRECT",1,2404
"http://localhost:3001/accessibilite/engagements","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Les engagements du pass Culture - pass Culture Pro","Les engagements du pass Culture pour l’accessibilité numérique","L’inclusion au coeur de la stratégie technique | Collaboration et sensibilisation","","","","","fr","REDIRECT",1,2515
"http://localhost:3001/accessibilite/declaration","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Déclaration d'accessibilité - pass Culture Pro","Déclaration d’accessibilité","État de conformité | Contenus non accessibles | Établissement de cette déclaration d’accessibilité | Retour d’information et contact | Voies de recours","Résultat des tests | Non conformité | Dérogations pour charge disproportionnée | Contenus non soumis à l’obligation d’accessibilité | Technologies utilisées pour la réalisation du site | Environnement de test | Les outils utilisés lors de l’évaluation | Pages du site ayant fait l’objet de la vérification de conformité","","","","fr","REDIRECT",1,2279
"http://localhost:3001/accessibilite/schema-pluriannuel","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Schéma pluriannuel - pass Culture Pro","Schéma pluriannuel d’accessibilité 2024 - 2025","INTRODUCTION | DÉFINITION DE L’ACCESSIBILITÉ NUMÉRIQUE | POLITIQUE D’ACCESSIBILITÉ | RESSOURCES HUMAINES ET FINANCIÈRES AFFECTÉES À L’ACCESSIBILITÉ NUMÉRIQUE | ORGANISATION DE LA PRISE EN COMPTE DE L’ACCESSIBILITÉ NUMÉRIQUE | PÉRIMÈTRE TECHNIQUE ET FONCTIONNEL | ANNEXE 1 : PÉRIMÈTRE TECHNIQUE ET FONCTIONNEL","Plan annuel 2024 | Plan annuel 2025","","","","fr","REDIRECT",1,2365
"http://localhost:3001/404","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Connectez-vous - pass Culture Pro","Connectez-vous","","","","","","fr","REDIRECT | TITLE_DUPLICATE",1,2385
"http://localhost:3001/accueil","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Espace acteurs culturels - pass Culture Pro","Respect de votre vie privée | Bienvenue sur votre espace partenaire","Présence sur l’application pass Culture","Vos offres publiées | Votre page partenaire | Terrain vague | Offres numériques","Grand public | Enseignants","","","fr","MULTIPLE_H1 | REDIRECT | SLOW_RENDER",1,9095
"http://localhost:3001/guichet","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Guichet - pass Culture Pro","Respect de votre vie privée | Guichet","","","","","","fr","MULTIPLE_H1 | REDIRECT",1,2365
"http://localhost:3001/reservations","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Réservations individuelles - pass Culture Pro","Respect de votre vie privée | Réservations individuelles","","","","","","fr","MULTIPLE_H1 | REDIRECT",1,2348
"http://localhost:3001/reservations/collectives","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Réservations collectives - pass Culture Pro","Respect de votre vie privée | Réservations collectives","","","","","","fr","MULTIPLE_H1 | REDIRECT",1,2488
"http://localhost:3001/offres","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Offres individuelles - pass Culture Pro","Offres individuelles","Liste des offres","","","","","fr","REDIRECT",1,2336
"http://localhost:3001/offres/collectives","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Offres collectives - pass Culture Pro","Offres collectives","","","","","","fr","REDIRECT",1,2800
"http://localhost:3001/offres/vitrines","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Offres vitrines - pass Culture Pro","Offres vitrines","","","","","","fr","REDIRECT",1,2708
"http://localhost:3001/offre/creation","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Choix de la nature de l’offre - Créer une offre - pass Culture Pro","Créer une offre","À qui destinez-vous cette offre ? | Votre offre est","","","","","fr","TITLE_TOO_LONG | REDIRECT",1,2515
"http://localhost:3001/profil","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Profil - pass Culture Pro","Profil","","","","","","fr","REDIRECT",1,2959
"http://localhost:3001/collaborateurs","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Collaborateurs - pass Culture Pro","Collaborateurs","Liste des collaborateurs","","","","","fr","REDIRECT",1,2591
"http://localhost:3001/remboursements","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Gestion financière - pass Culture Pro","Gestion financière","","","","","","fr","REDIRECT",1,2644
"http://localhost:3001/remboursements/informations-bancaires","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Informations bancaires - pass Culture Pro","Gestion financière","","","","","","fr","REDIRECT",1,2607
"http://localhost:3001/remboursements/revenus","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Chiffre d’affaires - pass Culture Pro","Gestion financière","","","","","","fr","REDIRECT",1,2453
"http://localhost:3001/plan-du-site","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Plan du site - pass Culture Pro","Plan du site","","","","","","fr","REDIRECT",1,2613
"http://localhost:3001/inscription/structure","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Parcours de souscription - pass Culture Pro","","","","","","","fr","NO_H1 | REDIRECT",1,2741
"http://localhost:3001/offre/individuelle/1779/recapitulatif/details","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Détails de l’offre - Consulter une offre individuelle - pass Culture Pro","Récapitulatif","Détails de l’offre | Aperçu dans l’app","A propos de votre offre | Type d’offre","","","","fr","TITLE_TOO_LONG | REDIRECT | TITLE_DUPLICATE",1,2782
"http://localhost:3001/offre/individuelle/1779/recapitulatif/details","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Détails de l’offre - Consulter une offre individuelle - pass Culture Pro","Récapitulatif","Détails de l’offre | Aperçu dans l’app","A propos de votre offre | Type d’offre","","","","fr","TITLE_TOO_LONG | REDIRECT | TITLE_DUPLICATE",1,2667
"http://localhost:3001/structures/882/lieux/891/page-partenaire","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Gérer ma page sur l’application - pass Culture Pro","Page sur l’application","Terrain vague | Vos informations pour le grand public","À propos de votre activité | Accueil du public | Informations de contact","Adresse et horaires | Modalités d’accessibilité via acceslibre","Handicap moteur | Handicap cognitif | Handicap auditif | Handicap visuel","","fr","REDIRECT",1,2720
"http://localhost:3001/structures/882/lieux/891/collectif","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Gérer ma page sur ADAGE - pass Culture Pro","Page dans ADAGE","Terrain vague","","","","","fr","REDIRECT",1,2531
"http://localhost:3001/offre/individuelle/1779/pratiques","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Informations pratiques - Consulter une offre individuelle - pass Culture Pro","Récapitulatif","Informations pratiques","Localisation de l’offre | Retrait de l’offre | Modalités d’accessibilité | Lien de réservation externe en l’absence de crédit | Notification des réservations","","","","fr","TITLE_TOO_LONG | REDIRECT",1,2613
"http://localhost:3001/offre/individuelle/1779/stocks","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Stocks et prix - Consulter une offre individuelle - pass Culture Pro","Récapitulatif","Stocks et prix","","","","","fr","TITLE_TOO_LONG | REDIRECT",1,2895
"http://localhost:3001/offre/individuelle/1779/reservations","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Réservations - Consulter une offre individuelle - pass Culture Pro","Récapitulatif","","","","","","fr","TITLE_TOO_LONG | REDIRECT | SLOW_RENDER",1,3130
"http://localhost:3001/offre/individuelle/1779/edition/details","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Détails de l’offre - Modifier une offre individuelle - pass Culture Pro","Modifier l’offre","À propos de votre offre | Illustrez votre offre | Type d’offre","","","","","fr","TITLE_TOO_LONG | REDIRECT | SLOW_RENDER",1,3133
"http://localhost:3001/offre/163/collectif/recapitulatif","http://localhost:3001/__cypress/iframes/cypress%2Fe2e%2Fseo%2Fextract_headings.cy.ts?browserFamily=chromium",,"Récapitulatif - Modifier une offre collective réservable - pass Culture Pro","Récapitulatif REIMBURSED offer 22 pour eac_2_lieu [BON EAC]","Détails de l’offre | Dates & Prix | Établissement et enseignant","Structure de rattachement de votre offre | Type d’offre | Informations artistiques | Image de l’offre | Localisation de l’événement | Participants | Modalités d’accessibilité | Contact | Notifications des réservations | Conditions de réservation","","","","fr","TITLE_TOO_LONG | REDIRECT | SLOW_RENDER",1,7793