"Ref Évènement","Ref Lieu","Titre","Auteur","Metteur en scène","Interprète","Type","Horaires","Durée","Date limite d'inscription","Places Par Horaire","Lien Internet","Texte Accroche","Lien Image Accroche","Lien image Accroche originale (si modifiée)","Description","Lien Image","Date MAJ","Commentaires","","","","","","","","","","","","Territoire
(Reporting)"
"1","1","Atelier danses urbaines","R.Style","","","Atelier","samedi 19 mai 2038 16h; samedi 16 juin 2038 16h","1H30","","10"," http://www.104.fr/fiche-evenement/rstyle-atelier-danses-urbaines.html","","https://i.imgur.com/MAmptC6.jpg","https://i.imgur.com/eVXP2vL.jpg","Les danseurs de tout style et de tout niveau, mais aussi tous les curieux, sont invités à participer à cet atelier conçu comme un moment de partage et animé par un danseur professionnel et un dj.","","29/03/2018 13h00","","","","","","","","","","","","","0.0"
"2","1","Training party","WYNKL","","","Atelier","dimanche 3 juin 2038 14h","4H","","100"," http://www.104.fr/fiche-evenement/wynkl.html","","https://i.imgur.com/LIz3CkA.jpg","https://i.imgur.com/dvHybcS.jpg","Les sessions improvisation ""Training Party"" privilégient l'expression libre et l'échange entre les danseurs. Sur des musiques éclectiques, des combinaisons en duo, trio ou encore quatuor se construisent et évoluent au gré de l'inspiration des artistes. Des thèmes de recherche sont parfois proposés pour enrichir leur créativité. Ces ateliers sont ouverts à toutes les disciplines et tous les niveaux de danse. WYNKL est en résidence au CENTQUATRE-PARIS.","","29/03/2018 13h01","","","","","","","","","","","","",""
"3","1","Vhils","Vhils","","","Exposition","samedi 19 mai 2038 14h; samedi 19 mai 2038 15h; samedi 19 mai 2038 16h; samedi 19 mai 2038 17h; dimanche 20 mai 2038 14h; dimanche 20 mai 2038 15h; dimanche 20 mai 2038 16h; dimanche 20 mai 2038 17h; mercredi 23 mai 2038 14h; mercredi 23 mai 2038 15h; mercredi 23 mai 2038 16h; mercredi 23 mai 2038 17h; jeudi 24 mai 2038 14h; jeudi 24 mai 2038 15h; jeudi 24 mai 2038 16h; jeudi 24 mai 2038 17h; samedi 26 mai 2038 14h; samedi 26 mai 2038 15h; samedi 26 mai 2038 16h; samedi 26 mai 2038 17h; dimanche 27 mai 2038 14h; dimanche 27 mai 2038 15h; dimanche 27 mai 2038 16h; dimanche 27 mai 2038 17h; mercredi 30 mai 2038 14h; mercredi 30 mai 2038 15h; mercredi 30 mai 2038 16h; mercredi 30 mai 2038 17h; jeudi 31 mai 2038 14h; jeudi 31 mai 2038 15h; jeudi 31 mai 2038 16h; jeudi 31 mai 2038 17h; samedi 2 juin 2038 14h; samedi 2 juin 2038 15h; samedi 2 juin 2038 16h; samedi 2 juin 2038 17h; dimanche 3 juin 2038 14h; dimanche 3 juin 2038 15h; dimanche 3 juin 2038 16h; dimanche 3 juin 2038 17h; mercredi 6 juin 2038 14h; mercredi 6 juin 2038 15h; mercredi 6 juin 2038 16h; mercredi 6 juin 2038 17h; jeudi 7 juin 2038 14h; jeudi 7 juin 2038 15h; jeudi 7 juin 2038 16h; jeudi 7 juin 2038 17h; samedi 9 juin 2038 14h; samedi 9 juin 2038 15h; samedi 9 juin 2038 16h; samedi 9 juin 2038 17h; dimanche 10 juin 2038 14h; dimanche 10 juin 2038 15h; dimanche 10 juin 2038 16h; dimanche 10 juin 2038 17h; mercredi 13 juin 2038 14h; mercredi 13 juin 2038 15h; mercredi 13 juin 2038 16h; mercredi 13 juin 2038 17h; jeudi 14 juin 2038 14h; jeudi 14 juin 2038 15h; jeudi 14 juin 2038 16h; jeudi 14 juin 2038 17h; samedi 16 juin 2038 14h; samedi 16 juin 2038 15h; samedi 16 juin 2038 16h; samedi 16 juin 2038 17h; dimanche 17 juin 2038 14h; dimanche 17 juin 2038 15h; dimanche 17 juin 2038 16h; dimanche 17 juin 2038 17h; mercredi 20 juin 2038 14h; mercredi 20 juin 2038 15h; mercredi 20 juin 2038 16h; mercredi 20 juin 2038 17h; jeudi 21 juin 2038 14h; jeudi 21 juin 2038 15h; jeudi 21 juin 2038 16h; jeudi 21 juin 2038 17h; samedi 23 juin 2038 14h; samedi 23 juin 2038 15h; samedi 23 juin 2038 16h; samedi 23 juin 2038 17h; dimanche 24 juin 2038 14h; dimanche 24 juin 2038 15h; dimanche 24 juin 2038 16h; dimanche 24 juin 2038 17h; mercredi 27 juin 2038 14h; mercredi 27 juin 2038 15h; mercredi 27 juin 2038 16h; mercredi 27 juin 2038 17h; jeudi 28 juin 2038 14h; jeudi 28 juin 2038 15h; jeudi 28 juin 2038 16h; jeudi 28 juin 2038 17h; samedi 30 juin 2038 14h; samedi 30 juin 2038 15h; samedi 30 juin 2038 16h; samedi 30 juin 2038 17h; dimanche 1 juillet 2038 14h; dimanche 1 juillet 2038 15h; dimanche 1 juillet 2038 16h; dimanche 1 juillet 2038 17h; mercredi 4 juillet 2038 14h; mercredi 4 juillet 2038 15h; mercredi 4 juillet 2038 16h; mercredi 4 juillet 2038 17h; jeudi 5 juillet 2038 14h; jeudi 5 juillet 2038 15h; jeudi 5 juillet 2038 16h; jeudi 5 juillet 2038 17h; samedi 7 juillet 2038 14h; samedi 7 juillet 2038 15h; samedi 7 juillet 2038 16h; samedi 7 juillet 2038 17h; dimanche 8 juillet 2038 14h; dimanche 8 juillet 2038 15h; dimanche 8 juillet 2038 16h; dimanche 8 juillet 2038 17h; mercredi 11 juillet 2038 14h; mercredi 11 juillet 2038 15h; mercredi 11 juillet 2038 16h; mercredi 11 juillet 2038 17h; jeudi 12 juillet 2038 14h; jeudi 12 juillet 2038 15h; jeudi 12 juillet 2038 16h; jeudi 12 juillet 2038 17h; samedi 14 juillet 2038 14h; samedi 14 juillet 2038 15h; samedi 14 juillet 2038 16h; samedi 14 juillet 2038 17h; dimanche 15 juillet 2038 14h; dimanche 15 juillet 2038 15h; dimanche 15 juillet 2038 16h; dimanche 15 juillet 2038 17h; mercredi 18 juillet 2038 14h; mercredi 18 juillet 2038 15h; mercredi 18 juillet 2038 16h; mercredi 18 juillet 2038 17h; jeudi 19 juillet 2038 14h; jeudi 19 juillet 2038 15h; jeudi 19 juillet 2038 16h; jeudi 19 juillet 2038 17h; samedi 21 juillet 2038 14h; samedi 21 juillet 2038 15h; samedi 21 juillet 2038 16h; samedi 21 juillet 2038 17h; dimanche 22 juillet 2038 14h; dimanche 22 juillet 2038 15h; dimanche 22 juillet 2038 16h; dimanche 22 juillet 2038 17h; mercredi 25 juillet 2038 14h; mercredi 25 juillet 2038 15h; mercredi 25 juillet 2038 16h; mercredi 25 juillet 2038 17h; jeudi 26 juillet 2038 14h; jeudi 26 juillet 2038 15h; jeudi 26 juillet 2038 16h; jeudi 26 juillet 2038 17h","14H - 19H","","100","http://www.104.fr/fiche-evenement/vhils-exposition.html","","https://i.imgur.com/8JtSoiU.jpg","https://i.imgur.com/ujmwori.jpg","À la fois discrètes et frappantes, souvent gigantesques, les œuvres de Vhils représentent des visages anonymes, creusés dans différents matériaux ou à même les murs. Désormais connu et exposé à travers le monde, l'artiste portugais fait escale au CENTQUATRE. L'occasion pour cet explorateur urbain de présenter au public parisien une vue d'ensemble de son travail, mais aussi d'aller une nouvelle fois à la rencontre d'une ville et de ses habitants.","","29/03/2018 13h02","","","","","","","","","","","","",""
"4","1","Spectacle de cirque","","","Ecole de Cirque de Rosny avec Nikolaus","Spectacle","vendredi 6 juillet 2038 20h; samedi 7 juillet 2038 19h30","1H","15 juin","10","","","","","","","29/03/2018 13h02","","","","","","","","","","","","",""
"5","2","Tristesses","Anne-Cécile Vandalem","","","Pièce de théâtre","samedi 5 mai 2038 20h; dimanche 6 mai 2038 15h; mardi 8 mai 2038 20h; mercredi 9 mai 2038 20h; jeudi 10 mai 2038 20h; vendredi 11 mai 2038 20h; samedi 12 mai 2038 20h; dimanche 13 mai 2038 15h; mardi 15 mai 2038 20h; mercredi 16 mai 2038 20h; jeudi 17 mai 2038 20h; vendredi 18 mai 2038 20h; samedi 19 mai 2038 20h; dimanche 20 mai 2038 15h; mardi 22 mai 2038 20h; mercredi 23 mai 2038 20h; jeudi 24 mai 2038 20h; vendredi 25 mai 2038 20h; samedi 26 mai 2038 20h; dimanche 27 mai 2038 15h","2H","","10","http://www.theatre-odeon.eu/fr/2017-2018/spectacles/tristesses","","https://i.imgur.com/HuPxgPy.jpg","https://i.imgur.com/kTNxVs0.jpg","« Merde, la vieille s’est pendue ! »,""
2016, l’Europe subit une montée puissante des partis d’extrême droite. Le Parti du Réveil Populaire, dirigé par Martha Heiger, est en train de prendre le contrôle d’une partie des pays du nord. Sur l’île de Tristesse, le corps de la mère de Martha est retrouvé pendu au drapeau du Danemark. À l’occasion des funérailles, la venue de la dirigeante est annoncée. Deux adolescentes vont alors saisir cette occasion pour écarter celle qui menace leur avenir…Thriller politique, polar nordique, conte musical Tristesses convoque au plateau tout un village de maisons de bois peint, où l’intimité des foyers est saisi par des caméras rythmant l’ensemble à la façon d’une passionnante série policière. ","","29/03/2018 14h03","donner la liste des participants 3h avant + update régulier (1à et 5 jours avant) si bcp d'inscriptions","","","","","","","","","","","",""
"6","3","Bérénice","Jean Racine","Célie Pauthe","","Pièce de théâtre","vendredi 11 mai 2038 20h; samedi 12 mai 2038 20h; dimanche 13 mai 2038 15h; mardi 15 mai 2038 20h; mercredi 16 mai 2038 20h; jeudi 17 mai 2038 20h; vendredi 18 mai 2038 20h; samedi 19 mai 2038 20h; dimanche 20 mai 2038 15h; mardi 22 mai 2038 20h; mercredi 23 mai 2038 20h; jeudi 24 mai 2038 20h; vendredi 25 mai 2038 20h; samedi 26 mai 2038 20h; dimanche 27 mai 2038 15h; mardi 29 mai 2038 20h; mercredi 30 mai 2038 20h; jeudi 31 mai 2038 20h; vendredi 1 juin 2038 20h; samedi 2 juin 2038 20h; dimanche 3 juin 2038 15h; mardi 5 juin 2038 20h; mercredi 6 juin 2038 20h; jeudi 7 juin 2038 20h; vendredi 8 juin 2038 20h; samedi 9 juin 2038 20h; dimanche 10 juin 2038 15h","2H15","","10","http://www.theatre-odeon.eu/fr/2017-2018/spectacles/berenice","","https://i.imgur.com/YgZLs56.jpg","https://i.imgur.com/OGiKANT.jpg","“Que le jour recommence, et que le jour finisse, Sans que jamais Titus puisse voir Bérénice.”,""
« Titus, qui aimait passionnément Bérénice, et qui même, à ce qu’on croyait, lui avait promis de l’épouser, la renvoya de Rome, malgré lui et malgré elle, dès les premiers jours de son empire ». À partir de ce bref épisode de l’histoire romaine, et se donnant comme défi de « faire quelque chose de rien », Racine compose en alexandrins une tragédie de la séparation et de l’amour radical. ","","29/03/2018 15h00","donner la liste des participants 3h avant + update régulier (1à et 5 jours avant) si bcp d'inscriptions","","","","","","","","","","","",""
"7","2","L'Avare","Molière","Ludovic Lagarde","","Pièce de théâtre","mardi 5 juin 2038 20h; mercredi 6 juin 2038 20h; jeudi 7 juin 2038 20h; vendredi 8 juin 2038 20h; samedi 9 juin 2038 20h; dimanche 10 juin 2038 15h; mardi 12 juin 2038 20h; mercredi 13 juin 2038 20h; jeudi 14 juin 2038 20h; vendredi 15 juin 2038 20h; samedi 16 juin 2038 20h; dimanche 17 juin 2038 15h; mardi 19 juin 2038 20h; mercredi 20 juin 2038 20h; jeudi 21 juin 2038 20h; vendredi 22 juin 2038 20h; samedi 23 juin 2038 20h; dimanche 24 juin 2038 15h; mardi 26 juin 2038 20h; mercredi 27 juin 2038 20h; jeudi 28 juin 2038 20h; vendredi 29 juin 2038 20h; samedi 30 juin 2038 20h","2H30","","10","http://www.theatre-odeon.eu/fr/2017-2018/spectacles/l-avare","","https://i.imgur.com/YmM78t8.jpg","https://i.imgur.com/DPGtyXj.jpg","« Au voleur ! A l’assassin ! Au meurtrier ! »,""
Voici un Avare de choc, bourreau des autres comme de soi-même, faisant le malheur de ses proches et la joie de ses spectateurs ! Avide autant qu’avare, Harpagon veut à la fois accumuler et retenir. Et surtout, ne pas consommer.  Toute solidarité, tout lien familial ou social sont solubles dans l’or. Pour Harpagon, la richesse est faite pour disparaître au fond d’un trou noir, sans retour et sans fond, pareil à celui qu’il creuse au fond de son jardin pour y enfouir sa chère cassette…","","29/03/2018 15h01","donner la liste des participants 3h avant + update régulier (1à et 5 jours avant) si bcp d'inscriptions","","","","","","","","","","","",""
"8","4","Immerstadje","Hamid Ben Mahi et Compagnie Hors Série","","","Spectacle de danse","samedi 19 mai 2038 19h","1H30","","10","https://www.mc93.com/saison/immerstadje","","https://i.imgur.com/ZrXDuRx.jpg","https://i.imgur.com/8iZbm84.jpg","Danse Hip-Hop,""
Cinq danseurs partent en quête d’un lieu où ils pourraient laisser libre cours à leur imagination et aux héros qui sommeillent en eux.","","29/03/2018 15h02","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""